,address,lat,long,PIN,date,description,tokenized_final,cost,value,year
386932,840 W 35TH ST,39.329896,-76.63061,3532007,01/22/2019,scope of work: install a new electric water heater  reconstruct waste and water  install 11 new fixtures. sewage ejection pit. all work will be done per baltimore city code,"['scope', 'install', 'electric', 'water', 'heater', 'reconstruct', 'waste', 'water', 'install', 'fixtures', 'sewage', 'ejection', 'pit', 'done', 'baltimore', 'city']",10400.0,151667.0,2019
27461,5901 E LOMBARD ST,39.295492,-76.548445,6333013,12/20/2019,pre-engineered flex module temporary construction office trailer to be placed on an existing paved parking lot   customized module-based system that is pre-assembled  will have electrical power connection  trailer’s restroom will be served by exterior ground mounted holding tanks for water and sewage that will be periodically refilled and emptied  trailer foundation will rest at grade on the existing asphalt surface with strap and anchorage driven into asphalt / ground as per plans as per code.,"['pre-engineered', 'flex', 'module', 'temporary', 'construction', 'office', 'trailer', 'placed', 'existing', 'paved', 'parking', 'lot', 'customized', 'module-based', 'system', 'pre-assembled', 'electrical', 'power', 'connection', 'trailer', 'restroom', 'served', 'exterior', 'ground', 'mounted', 'holding', 'tanks', 'water', 'sewage', 'periodically', 'refilled', 'emptied', 'trailer', 'foundation', 'rest', 'grade', 'existing', 'asphalt', 'surface', 'strap', 'anchorage', 'driven', 'asphalt', '/', 'ground', 'plans']",80000.0,34396133.0,2019
28598,6002 WALLIS AVE,39.357691,-76.689255,4360057,11/14/2019, plumbing work only and reconstruct 1 interior gas line for 1 fixture (range). plumbing interior work: new water and waste for the following: 2 kitchen sinks  2 dishwashers  1 icemaker line  sewage ejector pump in basement. construct new interior underground waste lines for future fixtures - 1 toilet  1 lav sink  1 tub  washing machine and kitchen sink. install sump pump and rough drains. all work to be done to code.,"['plumbing', 'reconstruct', 'interior', 'gas', 'line', 'fixture', 'range', 'plumbing', 'interior', 'water', 'waste', 'following', 'kitchen', 'sinks', 'dishwashers', 'icemaker', 'line', 'sewage', 'ejector', 'pump', 'basement', 'construct', 'interior', 'underground', 'waste', 'lines', 'future', 'fixtures', 'toilet', 'lav', 'sink', 'tub', 'washing', 'machine', 'kitchen', 'sink', 'install', 'sump', 'pump', 'rough', 'drains', 'done']",20000.0,229800.0,2019
416914,3349 KESWICK RD,39.328135,-76.627839,3670A022A,01/09/2019,reconstruct all waste and water as per code; 3 full baths  basement bath has sewage ejector install (1) 100000 btu gas pipeing  (17)  # plumbing fixtures  (2) 80000 btu fuel-burning equip  (2) 140000 btu fuel-burning equip as per code.,"['reconstruct', 'waste', 'water', 'full', 'baths', 'basement', 'bath', 'sewage', 'ejector', 'install', 'btu', 'gas', 'pipeing', 'plumbing', 'fixtures', 'btu', 'fuel-burning', 'equip', 'btu', 'fuel-burning', 'equip']",3500.0,163233.0,2019
24981,4701 HAZELWOOD AVE,39.34151,-76.534671,6019D001,10/18/2019,install one (1) 30 amp 240 volt dedicated branch circuit with a non fused safety switch for the sewage pump. terminate the circuitry in customer supplied control box.install (1)  # branch circuits/feeders  as per code.,"['install', 'one', 'amp', 'volt', 'dedicated', 'branch', 'circuit', 'non', 'fused', 'safety', 'switch', 'sewage', 'pump', 'terminate', 'circuitry', 'customer', 'supplied', 'control', 'box.install', 'branch', 'circuits/feeders']",500.0,329500.0,2019
414310,825 WELLINGTON ST,39.330529,-76.630383,3532117,05/25/2018,reconstruct waste and water; install new three piece bathroom in basement with sewage ejector;install new gas water heater and new washer box; 2nd floor replace existing toilet and sink  replace tub with shower; run new gas lines to water heater  dryer and stove. all work done as per code.,"['reconstruct', 'waste', 'water', 'install', 'three', 'piece', 'bathroom', 'basement', 'sewage', 'ejector', 'install', 'gas', 'water', 'heater', 'washer', 'box', '2nd', 'floor', 'replace', 'existing', 'toilet', 'sink', 'replace', 'tub', 'shower', 'run', 'gas', 'lines', 'water', 'heater', 'dryer', 'stove', 'done']",3500.0,226733.0,2018
370624,5307 PLYMOUTH RD,39.354124,-76.571106,5370H009,01/24/2018,1. interior renovation of existing basement  first floor and second floor.a. includes removal and reinstallation of basement floor slab to provide required ceiling height for habitable space.b. one new bath room  hot water  sewage ejector  hvac location and sump pump in the basement.c. interior partitions typically utilizing 2x4 wood studs at 16” o.c. with ½” gwb both sides.d. two new bath rooms on second floor.e. all exterior walls exposed during construction to be infilled with r-13 kraft faced batt insulation.2. installation of new access stairway from basement to rear yard.3. installation of new access areaway and egress window from existing basement.4. renovation of existing exterior rear deck and stairs to provide new structural joists  decking  guard rails and handrails to match existing configuration.5. drywall whole house6. install new interior doors as per schedule7. install new kitchen cabinets8. install new trim throughout 9. building summary:existing basement area = 615 net square feetexisting first floor area = 666 net square feetexisting second floor area = 575 net square feetexisting rear deck area = 72 net square feet,"['1.', 'interior', 'renovation', 'existing', 'basement', 'first', 'floor', 'second', 'floor.a', 'includes', 'removal', 'reinstallation', 'basement', 'floor', 'slab', 'provide', 'required', 'ceiling', 'height', 'habitable', 'space.b', 'one', 'bath', 'room', 'hot', 'water', 'sewage', 'ejector', 'hvac', 'location', 'sump', 'pump', 'basement.c', 'interior', 'partitions', 'typically', 'utilizing', '2x4', 'wood', 'studs', 'o.c', 'gwb', 'sides.d', 'two', 'bath', 'rooms', 'second', 'floor.e', 'exterior', 'walls', 'exposed', 'construction', 'infilled', 'r-13', 'kraft', 'faced', 'batt', 'insulation.2', 'installation', 'access', 'stairway', 'basement', 'rear', 'yard.3', 'installation', 'access', 'areaway', 'egress', 'window', 'existing', 'basement.4', 'renovation', 'existing', 'exterior', 'rear', 'deck', 'stairs', 'provide', 'structural', 'joists', 'decking', 'guard', 'rails', 'handrails', 'match', 'existing', 'configuration.5', 'drywall', 'whole', 'house6', 'install', 'interior', 'doors', 'schedule7', 'install', 'kitchen', 'cabinets8', 'install', 'trim', 'throughout', '9.', 'building', 'summary', 'existing', 'basement', 'area', 'net', 'square', 'feetexisting', 'first', 'floor', 'area', 'net', 'square', 'feetexisting', 'second', 'floor', 'area', 'net', 'square', 'feetexisting', 'rear', 'deck', 'area', 'net', 'square', 'feet']",10000.0,177033.0,2018
372916,2001 W COLD SPRING LANE,39.344877,-76.649715,3357E001,03/01/2018,install (2)  # sanitary connection (cap off)  (2)  # water service pipe (cap off only) as per code. apwc per regulated floodplain: sanitary systems shall be designed to minimize infiltration of floodwaters into the systems and discharges from the systems into floodwaters. vents and openings shall be above the flood protection elevation (183 ft. navd88). sanitary system storage tanks shall be designed  constructed  installed  and anchored to resist at least 1.5 times the potential buoyant and other flood forces acting on an empty tank during design flood conditions. tanks and piping shall be installed to resist local scour and erosion. sanitary systems that must remain operational during or immediately after the design flood or lesser floods shall be equipped with a sealed storage tank that is sized to store at least 150% of the anticipated sewage flow associated with occupancy during flood conditions and during subsequent periods of saturated soil when sewage will not percolate.,"['install', 'sanitary', 'connection', 'cap', 'water', 'service', 'pipe', 'cap', 'apwc', 'regulated', 'floodplain', 'sanitary', 'systems', 'shall', 'designed', 'minimize', 'infiltration', 'floodwaters', 'systems', 'discharges', 'systems', 'floodwaters', 'vents', 'openings', 'shall', 'flood', 'protection', 'elevation', 'ft.', 'navd88', 'sanitary', 'system', 'storage', 'tanks', 'shall', 'designed', 'constructed', 'installed', 'anchored', 'resist', 'least', '1.5', 'times', 'potential', 'buoyant', 'flood', 'forces', 'acting', 'empty', 'tank', 'design', 'flood', 'conditions', 'tanks', 'piping', 'shall', 'installed', 'resist', 'local', 'scour', 'erosion', 'sanitary', 'systems', 'must', 'remain', 'operational', 'immediately', 'design', 'flood', 'lesser', 'floods', 'shall', 'equipped', 'sealed', 'storage', 'tank', 'sized', 'store', 'least', 'anticipated', 'sewage', 'flow', 'associated', 'occupancy', 'flood', 'conditions', 'subsequent', 'periods', 'saturated', 'soil', 'sewage', 'percolate']",500.0,1328067.0,2018
381375,1201 S CATON AVE,39.268282,-76.668189,2108C002,07/02/2018,the conversion of two adjacent storage rooms into a men's and women's multi-user restroom  plumbing work includes running new pipes through the floor into the crawlspace below where it connects to existing water and sewage lines as per plans as per code.,"['conversion', 'two', 'adjacent', 'storage', 'rooms', 'men', ""'s"", 'women', ""'s"", 'multi-user', 'restroom', 'plumbing', 'includes', 'running', 'pipes', 'floor', 'crawlspace', 'connects', 'existing', 'water', 'sewage', 'lines', 'plans']",75000.0,14816324.0,2018
414797,3604 COPLEY RD,39.329182,-76.676078,3113027,08/09/2018,per chap:  replace underground sewage pipe as per plans and per code  restore grade as per code.install (1)  # sanitary connection (reconstruction0 as per code.,"['chap', 'replace', 'underground', 'sewage', 'pipe', 'plans', 'restore', 'grade', 'code.install', 'sanitary', 'connection', 'reconstruction0']",1800.0,173767.0,2018
